Date,Open,High,Low,Close,Adj Close,Volume
2022-08-22,60300.000000,60400.000000,59800.000000,60000.000000,58586.949219,8259865
2022-08-23,59000.000000,59600.000000,59000.000000,59100.000000,57708.144531,9041629
2022-08-24,59200.000000,59500.000000,59000.000000,59000.000000,57610.503906,8888486
2022-08-25,59200.000000,59700.000000,59000.000000,59700.000000,58294.019531,5767902
2022-08-26,60300.000000,60900.000000,59900.000000,60000.000000,58586.949219,9499995
2022-08-29,58700.000000,58900.000000,58600.000000,58600.000000,57219.921875,9841329
2022-08-30,58700.000000,59000.000000,58300.000000,58800.000000,57415.210938,9690044
2022-08-31,58200.000000,59900.000000,58200.000000,59700.000000,58294.019531,14203512
2022-09-01,58700.000000,58900.000000,58300.000000,58400.000000,57024.628906,14905777
2022-09-02,58300.000000,58600.000000,57500.000000,57500.000000,56145.824219,15040310
2022-09-05,57400.000000,57800.000000,56800.000000,57100.000000,55755.246094,11425977
2022-09-06,57200.000000,57600.000000,56900.000000,57100.000000,55755.246094,7503086
2022-09-07,56700.000000,56700.000000,55900.000000,56000.000000,54681.152344,17384854
2022-09-08,56200.000000,56400.000000,55600.000000,55600.000000,54290.574219,18000016
2022-09-13,57000.000000,58500.000000,56800.000000,58100.000000,56731.695313,17166581
2022-09-14,56200.000000,57200.000000,56100.000000,56800.000000,55462.312500,12524961
2022-09-15,57000.000000,57100.000000,56000.000000,56000.000000,54681.152344,11664819
2022-09-16,55600.000000,56400.000000,55500.000000,56200.000000,54876.445313,13456503
2022-09-19,56300.000000,57000.000000,56000.000000,56400.000000,55071.734375,12278653
2022-09-20,56400.000000,57000.000000,55800.000000,55800.000000,54485.863281,14041465
2022-09-21,55400.000000,55500.000000,55000.000000,55300.000000,53997.636719,11863700
2022-09-22,54600.000000,54700.000000,54300.000000,54400.000000,53118.835938,12786510
2022-09-23,54400.000000,54900.000000,54200.000000,54500.000000,53216.480469,10555964
2022-09-26,53700.000000,54200.000000,53600.000000,53900.000000,52630.609375,15008449
2022-09-27,53800.000000,54200.000000,53500.000000,54200.000000,52923.546875,16631289
2022-09-28,53900.000000,54400.000000,52500.000000,52900.000000,51654.160156,19991129
2022-09-29,53300.000000,53700.000000,52600.000000,52600.000000,51714.132813,13882080
2022-09-30,52300.000000,53600.000000,51800.000000,53100.000000,52205.714844,22503249
2022-10-04,55300.000000,55400.000000,54500.000000,55200.000000,54270.347656,19148435
2022-10-05,56900.000000,57200.000000,55400.000000,56000.000000,55056.871094,22458970
2022-10-06,56700.000000,57300.000000,56300.000000,56300.000000,55351.820313,14944446
2022-10-07,55900.000000,56900.000000,55200.000000,56200.000000,55253.503906,16886813
2022-10-11,54400.000000,55700.000000,54000.000000,55400.000000,54466.976563,21437877
2022-10-12,55700.000000,57000.000000,55200.000000,55800.000000,54860.242188,18408910
2022-10-13,55400.000000,56100.000000,55200.000000,55200.000000,54270.347656,13784602
2022-10-14,56200.000000,56500.000000,55800.000000,56300.000000,55351.820313,12924326
2022-10-17,55800.000000,57000.000000,55700.000000,56600.000000,55646.765625,13641878
2022-10-18,56700.000000,57100.000000,55800.000000,56500.000000,55548.453125,14820702
2022-10-19,56700.000000,56900.000000,55700.000000,55800.000000,54860.242188,12660652
2022-10-20,55200.000000,56000.000000,55100.000000,55500.000000,54565.296875,17107653
2022-10-21,55100.000000,56300.000000,55100.000000,55900.000000,54958.554688,11456060
2022-10-24,57000.000000,57500.000000,56700.000000,57500.000000,56531.609375,16944503
2022-10-25,57000.000000,58600.000000,57000.000000,57700.000000,56728.242188,17405678
2022-10-26,58000.000000,59600.000000,57700.000000,59400.000000,58399.613281,20824967
2022-10-27,59700.000000,60100.000000,58900.000000,59500.000000,58497.925781,21756712
2022-10-28,58900.000000,59200.000000,57200.000000,57300.000000,56334.980469,20924937
2022-10-31,58100.000000,59900.000000,58000.000000,59400.000000,58399.613281,18999514
2022-11-01,59900.000000,60300.000000,59500.000000,60000.000000,58989.503906,17201647
2022-11-02,59700.000000,60000.000000,59300.000000,59600.000000,58596.246094,13202919
2022-11-03,58600.000000,59800.000000,58100.000000,59200.000000,58202.976563,17492162
2022-11-04,59100.000000,59500.000000,58400.000000,59400.000000,58399.613281,12445841
2022-11-07,59700.000000,60300.000000,59400.000000,60200.000000,59186.140625,12437246
2022-11-08,60500.000000,61900.000000,60500.000000,61800.000000,60759.191406,18273898
