Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,15750.000000,16100.000000,14900.000000,15050.000000,15050.000000,552701
2022-09-29,15350.000000,15600.000000,14400.000000,14400.000000,14400.000000,577087
2022-09-30,14050.000000,15050.000000,13950.000000,14750.000000,14750.000000,417994
2022-10-04,15000.000000,15400.000000,14400.000000,15300.000000,15300.000000,549103
2022-10-05,15550.000000,16200.000000,15250.000000,15700.000000,15700.000000,650844
2022-10-06,16200.000000,16500.000000,15600.000000,16250.000000,16250.000000,642977
2022-10-07,15900.000000,16500.000000,15200.000000,15200.000000,15200.000000,409038
2022-10-11,14650.000000,14950.000000,14100.000000,14350.000000,14350.000000,347768
2022-10-12,14350.000000,15000.000000,14300.000000,14600.000000,14600.000000,311147
2022-10-13,14550.000000,14700.000000,13750.000000,14000.000000,14000.000000,262692
2022-10-14,14450.000000,14600.000000,13900.000000,14100.000000,14100.000000,310874
2022-10-17,13800.000000,14600.000000,13400.000000,14550.000000,14550.000000,437341
2022-10-18,14900.000000,15350.000000,14750.000000,15250.000000,15250.000000,513675
2022-10-19,15250.000000,15700.000000,14950.000000,15050.000000,15050.000000,389188
2022-10-20,15150.000000,15800.000000,14550.000000,14700.000000,14700.000000,382306
2022-10-21,14600.000000,15050.000000,14150.000000,14350.000000,14350.000000,263472
2022-10-24,14700.000000,15250.000000,14600.000000,14750.000000,14750.000000,251845
2022-10-25,14850.000000,15000.000000,14050.000000,14150.000000,14150.000000,257306
2022-10-26,14250.000000,14350.000000,13800.000000,14000.000000,14000.000000,162018
2022-10-27,14100.000000,14700.000000,14100.000000,14700.000000,14700.000000,225984
2022-10-28,14350.000000,14850.000000,14300.000000,14500.000000,14500.000000,194366
2022-10-31,14950.000000,15300.000000,14500.000000,15200.000000,15200.000000,354043
2022-11-01,15200.000000,15700.000000,14950.000000,15700.000000,15700.000000,295429
2022-11-02,15500.000000,15550.000000,14950.000000,15050.000000,15050.000000,210356
2022-11-03,14500.000000,15250.000000,14450.000000,15200.000000,15200.000000,192664
2022-11-04,15100.000000,15500.000000,14850.000000,15500.000000,15500.000000,162103
2022-11-07,15300.000000,15550.000000,15100.000000,15300.000000,15300.000000,121771
2022-11-08,15450.000000,15650.000000,15200.000000,15300.000000,15300.000000,210451
2022-11-09,15350.000000,15350.000000,14850.000000,15000.000000,15000.000000,212561
2022-11-10,15200.000000,15350.000000,14150.000000,14250.000000,14250.000000,527679
2022-11-11,14650.000000,14800.000000,14400.000000,14500.000000,14500.000000,249039
2022-11-14,14550.000000,15000.000000,13700.000000,14100.000000,14100.000000,688269
2022-11-15,14100.000000,14600.000000,13950.000000,14550.000000,14550.000000,308344
2022-11-16,14550.000000,14600.000000,14150.000000,14500.000000,14500.000000,247101
2022-11-17,14500.000000,14500.000000,14100.000000,14100.000000,14100.000000,154452
2022-11-18,14100.000000,14350.000000,13950.000000,14100.000000,14100.000000,150810
2022-11-21,14100.000000,14200.000000,13550.000000,13700.000000,13700.000000,170968
2022-11-22,13600.000000,13850.000000,13300.000000,13400.000000,13400.000000,163326
2022-11-23,13550.000000,14350.000000,13450.000000,14000.000000,14000.000000,316937
2022-11-24,14150.000000,14750.000000,14100.000000,14600.000000,14600.000000,452695
2022-11-25,14700.000000,15000.000000,14600.000000,14850.000000,14850.000000,293929
2022-11-28,14900.000000,15000.000000,14350.000000,14800.000000,14800.000000,240426
2022-11-29,14750.000000,15100.000000,14650.000000,14900.000000,14900.000000,123816
